icmr_var,icmr_label,nhanes_file,nhanes_var,nhanes_label,comparability,notes
v1,Participant ID,DEMO_L.xpt,SEQN,Respondent sequence number,Equivalent Concept,"Both serve as primary unique de-identified keys. SEQN is integer, v1 is numeric."
v2,Place of residence (Urban/Rural),DEMO_L.xpt,None (Restricted/Not in public file),N/A,Not Available in Public NHANES,NHANES suppresses geographic/urbanicity variables in public releases to protect participant confidentiality.
v3,State Code,DEMO_L.xpt,None (Restricted in RDC),N/A,Not Available in Public NHANES,State/County identifiers are restricted in NHANES. ICMR has specific Indian state codes.
v4,Age of participant (years),DEMO_L.xpt,RIDAGEYR,Age in years at screening,Direct Equivalent,Direct numeric match. NHANES top-codes age at 80 (80+). ICMR sample range is 20 to 89.
v5,"Sex (1=Male, 2=Female)",DEMO_L.xpt,RIAGENDR,"Gender (1=Male, 2=Female)",Exact Match,"Identical coding: 1=Male, 2=Female in both datasets."
v6,Education level,DEMO_L.xpt,DMDEDUC2,Education level - Adults 20+,Close Concept (Harmonizable),"ICMR: 3 tiers (No formal, School, Higher/Tech). NHANES: 5 tiers (1=<9th, 2=9-11th, 3=High school, 4=Some college, 5=College grad). Can be harmonized into 3 tiers."
v7,Occupation category,DEMO_L.xpt,OCD150 / OCQ180 (Restricted/Separate),Occupation questionnaire,Weak / Not Direct,Detailed occupation is in specialized NHANES modules; not in basic DEMO_L.
v8,Body Mass Index (BMI in kg/m2),BMX_L.xpt,BMXBMI,Body Mass Index (kg/m**2),Direct Equivalent,Standard anthropometric measurement. Continuous float in both.
v9,Waist circumference (cm),BMX_L.xpt,BMXWAIST,Waist Circumference (cm),Direct Equivalent,Continuous waist circumference measured in cm in both protocols.
v10,Systolic Blood Pressure (mmHg),BPXO_L.xpt,"BPXOSY1, BPXOSY2, BPXOSY3 (Mean)",Systolic blood pressure oscillometric,Direct Equivalent (Protocol Harmonized),NHANES records 3 oscillometric readings; protocol standard is taking the mean of valid readings.
v11,Diastolic Blood Pressure (mmHg),BPXO_L.xpt,"BPXODI1, BPXODI2, BPXODI3 (Mean)",Diastolic blood pressure oscillometric,Direct Equivalent (Protocol Harmonized),Mean of 3 oscillometric readings in NHANES corresponds directly to ICMR resting DBP.
v12,Migration status,DEMO_L.xpt,DMDBORN4,Country of birth (US / Other),Conceptual Only,ICMR captures rural-to-urban internal migration; NHANES captures immigration/foreign birth.
v13-v24,Standard of Living Index (SLI) items & score,DEMO_L.xpt,INDFMPIR,Ratio of family income to poverty,Conceptual Socioeconomic Proxy,ICMR uses housing/asset-based SLI tailored to developing nations. NHANES uses Federal Poverty Level Ratio (PIR).
v25,"Tobacco: Smoking (0=Never, 1=Ex, 2=Current)",SMQ_L.xpt,"SMQ020 (100 cigs?), SMQ040 (Now smoke?)",Smoking status variables,Harmonizable (CDC Standard),"SMQ020=2 -> Never (0); SMQ020=1 & SMQ040=3 -> Former (1); SMQ020=1 & SMQ040 in [1,2] -> Current (2)."
v26,"Tobacco: Smokeless (0=Never, 1=Ex, 2=Current)",SMQ_L.xpt,"SMQ120, SMQ150 (Chewing/Snuff/Dip)",Smokeless tobacco use,Harmonizable,NHANES records chewing tobacco and snuff separately.
v27,"Tobacco: Any form (0=No, 1=Yes)",SMQ_L.xpt,Derived from SMQ020/040,Any current or past tobacco use,Direct Derivation,Can be computed identically in NHANES by combining smoked and smokeless flags.
v28,"Alcohol use (0=Never, 1=Ex, 2=Current)",ALQ_L.xpt,"ALQ121 (Past 12 mo freq), ALQ111 (Ever drank)",Alcohol drinking frequency,Harmonizable,"Harmonizable into 3 categories: Never (ALQ111=2), Former (ALQ111=1 & ALQ121=0), Current (ALQ121 > 0)."
